CH,y,x,relative,sensitivity,instrument
50,236.000,303.750,2.91580e+07,2.71321,3.38000
51,220.000,303.480,2.42044e+07,3.26848,3.44000
52,206.000,303.470,4.20659e+07,1.88066,3.55000
53,190.000,303.900,4.04806e+07,1.95431,3.49000
54,160.000,305.758,3.37628e+07,2.34316,3.49000
55,160.000,305.758,4.53887e+07,1.74298,3.46000
56,129.000,305.227,5.33024e+07,1.48421,3.27000
58,98.0000,306.113,4.53690e+07,1.74374,3.31000
60,83.0000,306.371,3.26336e+07,2.42424,3.11000
61,68.0000,306.292,2.51921e+07,3.14034,3.37000
62,53.0000,305.540,3.04985e+07,2.59395,3.41000
64,998.000,455.397,2.21727e+07,3.56798,4.54000
65,982.000,455.119,1.59439e+07,4.96188,4.63000
66,967.000,454.322,2.36670e+07,3.34270,4.75000
67,952.000,453.913,2.90825e+07,2.72025,4.70000
68,938.000,453.856,2.88223e+07,2.74482,4.46000
69,906.000,452.746,2.53931e+07,3.11548,4.41000
70,892.000,452.052,3.36382e+07,2.35184,4.56000
71,875.000,451.676,3.15870e+07,2.50456,4.27000
72,860.000,450.894,3.77662e+07,2.09478,4.55000
73,846.000,450.726,2.94900e+07,2.68266,4.29000
74,831.000,450.297,3.87069e+07,2.04387,4.34000
75,815.000,450.325,3.83211e+07,2.06444,4.28000
76,800.000,450.287,3.66188e+07,2.16041,4.34000
77,783.000,450.154,3.74239e+07,2.11394,4.04000
78,783.000,450.154,3.62588e+07,2.18186,4.17000
79,757.000,446.220,2.42267e+07,3.26548,3.81000
80,741.000,446.650,1.76849e+07,4.47341,4.03000
81,724.000,447.042,2.31796e+07,3.41299,4.15000
82,711.000,445.760,2.86246e+07,2.76377,3.89000
83,696.000,444.870,3.10471e+07,2.54812,4.14000
84,675.000,445.524,2.09284e+07,3.78012,3.78000
85,663.000,446.202,3.68098e+07,2.14920,3.89000
86,648.000,446.950,4.50883e+07,1.75460,3.95000
87,632.000,446.055,4.31271e+07,1.83438,3.78000
88,619.000,445.359,4.37187e+07,1.80956,3.88000
89,602.000,446.016,3.44055e+07,2.29939,3.62000
90,588.000,445.400,4.13954e+07,1.91112,3.66000
91,571.000,445.254,3.43815e+07,2.30100,3.88000
92,557.000,445.328,2.33278e+07,3.39131,3.57000
93,541.000,444.915,4.32003e+07,1.83128,3.69000
94,527.000,444.896,3.64717e+07,2.16913,3.75000
95,511.000,445.042,3.62600e+07,2.18179,4.05000
96,496.000,444.980,2.08303e+07,3.79792,3.29000
97,480.000,444.512,2.05773e+07,3.84461,3.44000
98,466.000,444.137,2.56294e+07,3.08676,3.49000
