CH	Y	X			
243	897	811.675	6.07E+07	1.33937	4.40088
245	852	810.126	6.66E+07	1.22072	4.2453
246	836	809.646	5.58E+07	1.45699	4.80993
247	822	809.482	8.13E+07	1	4.34328
248	806	808.063	7.08E+07	1.14831	4.47972
249	792	808.126	7.01E+07	1.15977	4.169
250	761	806.844	5.65E+07	1.43894	4.32768
251	746	806.87	6.74E+07	1.20623	4.46326
252	731	806.491	6.25E+07	1.3008	4.42615
253	717	806.453	5.24E+07	1.55153	4.36463
255	684	804.822	2.31E+07	3.51948	4.45162
256	670	804.228	3.24E+07	2.50926	3.62721
257	655	804.846	4.72E+07	1.72246	4.45277
258	640	804.806	6.36E+07	1.2783	4.36739
259	625	804.424	5.61E+07	1.4492	4.36356
260	610	804.393	5.57E+07	1.4596	4.50806
261	595	804.242	5.12E+07	1.58789	4.53829
262	580	803.979	6.84E+07	1.1886	4.49271
263	565	803.834	5.78E+07	1.40657	4.38935
264	550	803.68	4.31E+07	1.88631	4.4738
265	504	802.907	4.24E+07	1.91745	4.24821
267	458	802.824	4.03E+07	2.01737	4.272
268	881	810.916	4.05E+07	2.00741	4.02386
269	428	802.739	3.15E+07	2.58095	4.42621
270	413	803.32	1.80E+07	1.35600171	4.30694
271	368	803.173	8.00E+06	1.626132228	4.38874
272	353	802.979	6.21E+06	2.754796373	4.71785
273	338	803.708	6.31E+06	1.529848083	4.94257
274	322	802.895	1.49E+07	2.915269948	4.70185
275	307	803.027	3.46E+07	2.34971	4.36924
276	292	803.254	2.28E+07	3.56579	4.80903
277	276	803.143	3.81E+07	2.13386	4.52979
278	261	802.704	3.44E+07	2.36337	4.43701
279	231	803.101	3.69E+07	2.20325	4.44817
280	216	803.057	3.79E+07	2.14512	4.50883
281	201	803.661	2.68E+07	3.03358	4.46299
283	139	804.517	1.69E+07	4.81065	4.0861
284	124	804.492	2.14E+07	3.79907	4.50627
285	109	805.324	1.44E+07	5.64583	4.33282
286	78	805.456	2.14E+07	3.79907	4.10036
287	62	805.81	1.30E+07	6.25385	4.61004
288	48	805.534	1.17E+07	6.94872	4.50816
